batteryActivityId,batteryId,doneBy,notes,updatedFields,createdOn,status
1,3,18,Serial Number Changed.,"[""Battery Endpoint"",""Warranty Start Date"",""Warranty Duration""]",2025-04-14 15:07:01,1
2,2,18,testing Purpose,"[""Battery Endpoint"",""Warranty Start Date"",""Warranty Duration""]",2025-04-14 15:07:47,1
3,10,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:34:36,1
4,10,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:35:01,1
5,10,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:35:15,1
6,11,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:35:26,1
7,10,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:35:44,1
8,11,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:39:51,1
9,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:54:41,1
10,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:54:47,1
11,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:54:55,1
12,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:03,1
13,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:09,1
14,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:15,1
15,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:22,1
16,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:30,1
17,11,20,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:56:26,1
18,11,20,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:57:10,1
19,10,18,test,"[""Battery Endpoint"",""Warranty Start Date"",""Warranty Duration""]",2025-04-15 11:43:58,1
20,2,15,testing,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 11:45:12,1
21,2,15,sdafas,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 11:46:14,1
22,2,15,sdafas,"[""Warranty Duration""]",2025-04-15 17:19:33,1
23,10,20,test,"[""Battery Endpoint"",""Warranty Start Date"",""Warranty Duration""]",2025-04-15 11:53:54,1
24,12,2,YES UPDATED  THE BATTERY WARRANTY DURATION.,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-16 05:24:34,1
25,12,2,YES UPDATED  THE BATTERY WARRANTY DURATION.,"[""Warranty Duration""]",2025-04-16 05:25:42,1
26,12,2,YES UPDATED  THE BATTERY WARRANTY DURATION.,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-16 05:25:59,1
27,12,20,updated the battery warranty start date,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-16 05:41:59,1
28,13,64,test expiry,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-16 07:27:16,1
29,14,15,,"[""Battery Created""]",2025-04-16 13:01:01,1
30,15,15,,"[""Battery Created""]",2025-04-17 03:59:47,1
31,14,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:26:51,1
32,15,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:28:01,1
33,13,15,w,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:28:56,1
34,10,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:29:19,1
35,14,15,a,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:29:47,1
36,1,15,d,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:31:16,1
37,14,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:32:10,1
38,10,15,d,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:34:37,1
39,3,15,tp,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:37:51,1
40,6,15,ss,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:38:12,1
41,11,18,test,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:03:21,1
42,11,18,test,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:03:42,1
43,6,18,testing,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:03:55,1
44,3,18,Testing Purpose,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:04:25,1
45,10,18,Testing Purpose,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:04:37,1
46,1,18,Testing Purpose,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:04:54,1
47,6,15,d,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 12:48:12,1
48,2,2,serial no updated to check the design issue.,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 05:02:10,1
49,2,2,checked,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 05:02:36,1
50,11,2,to check the sort order,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-18 05:28:27,1
51,12,2,DESIGN,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 10:14:20,1
52,15,18,testing,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 11:12:22,1
53,15,18,test,"[""Warranty Duration""]",2025-04-18 11:13:29,1
54,15,18,testing,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-18 11:13:50,1
55,15,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-18 11:14:35,1
56,7,18,test,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 11:18:25,1
57,7,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-18 11:18:56,1
58,5,18,test,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 11:23:10,1
59,16,18,,"[""Battery Created""]",2025-04-18 11:34:29,1
60,16,15,testing,"[""Battery Serial No"",""Warranty Duration""]",2025-04-19 04:27:53,1
61,16,15,edit,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 05:06:04,1
62,16,15,j,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 05:06:43,1
63,16,15,3,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 05:23:57,1
64,15,15,s,"[""Warranty Duration""]",2025-04-21 12:13:37,1
65,15,15,W,"[""Battery Serial No"",""Warranty Start Date"",""Warranty Duration""]",2025-04-21 12:15:08,1
66,17,15,,"[""Battery Created""]",2025-04-21 07:07:54,1
67,17,15,D,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 07:08:38,1
68,17,15,S,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 07:09:03,1
69,17,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 12:42:09,1
70,17,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 12:51:32,1
71,17,15,s,"[""Warranty Duration""]",2025-04-21 12:52:42,1
72,17,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 12:53:23,1
73,18,15,,"[""Battery Created""]",2025-04-21 12:53:43,1
74,17,15,sd,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 12:54:22,1
75,17,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 12:57:31,1
76,16,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-21 12:58:04,1
77,17,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-22 05:38:16,1
78,17,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-22 05:38:38,1
79,17,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-22 05:39:39,1
80,17,15,k,"[""Battery Serial No"",""Warranty Duration""]",2025-04-22 05:40:28,1
81,17,15,d,"[""Battery Serial No""]",2025-04-22 11:14:58,1
82,17,15,e,"[""Battery Serial No"",""Warranty Duration""]",2025-04-22 11:15:27,1
83,17,15,e,"[""Warranty Duration""]",2025-04-22 11:15:40,1
84,17,15,s,"[""Battery Serial No""]",2025-04-22 06:20:07,1
85,17,15,x,"[""Battery Serial No""]",2025-04-22 06:20:36,1
86,17,15,ss,"[""Battery Serial No""]",2025-04-22 06:21:19,1
87,17,15,ee,"[""Warranty Start Date""]",2025-04-22 06:21:48,1
88,17,15,Hj,"[""Warranty Duration""]",2025-04-22 08:34:58,1
89,18,15,Hs,"[""Warranty Duration""]",2025-04-22 08:35:45,1
90,18,15,Hd,"[""Warranty Start Date""]",2025-04-22 08:36:05,1
91,18,15,Good ,"[""Battery Serial No"",""Warranty Start Date"",""Warranty Duration""]",2025-04-22 08:37:29,1
92,12,2,yes.,"[""Battery Serial No""]",2025-04-30 06:24:54,1
93,12,2,yes,"[""Battery Serial No""]",2025-04-30 06:25:17,1
94,12,2,yes,"[""Battery Serial No""]",2025-04-30 06:25:26,1
95,18,18,test,"[""Battery Serial No""]",2025-05-06 11:39:58,1
96,18,18,test,"[""Warranty Start Date""]",2025-05-06 11:40:13,1
97,18,18,test,"[""Warranty Duration""]",2025-05-06 11:40:24,1
98,3,20,yes,"[""Warranty Duration""]",2025-05-21 05:14:09,1
99,5,64,x,"[""Battery Serial No""]",2025-05-23 09:10:41,1
100,19,18,,"[""Battery Created""]",2025-05-26 12:06:17,1
101,20,68,,"[""Battery Created""]",2025-05-28 07:46:38,1
102,20,18,test,"[""Warranty Duration""]",2025-06-20 06:44:47,1
103,21,18,,"[""Battery Created""]",2025-06-20 06:45:33,1
104,21,18,test,"[""Battery Serial No""]",2025-06-20 07:28:11,1
105,22,18,,"[""Battery Pack Created""]",2025-07-14 04:52:06,1
106,22,15,jk,"[""Battery Pack Serial No""]",2025-07-26 10:40:46,1
107,22,15,date,"[""Warranty Duration""]",2025-07-26 10:58:16,1
108,22,15,12,"[""Warranty Duration""]",2025-07-26 10:58:54,1
109,22,15,1,"[""Battery Pack Serial No""]",2025-07-26 10:59:19,1
110,22,15,15,"[""Warranty Duration""]",2025-07-26 11:01:13,1
111,22,15,12,"[""Warranty Duration""]",2025-07-26 11:02:37,1
112,22,15,n,"[""Warranty Duration""]",2025-07-26 11:03:20,1
113,22,15,12,"[""Warranty Duration""]",2025-07-26 11:04:34,1
114,22,15,u,"[""Battery Pack Serial No"",""Warranty Duration""]",2025-07-26 11:06:09,1
115,22,15,h,"[""Battery Pack Serial No"",""Warranty Duration""]",2025-07-26 11:06:30,1
116,22,15,12,[],2025-07-26 11:06:38,1
117,22,15,j,"[""Warranty Duration""]",2025-07-26 11:08:40,1
118,22,15,up,"[""Battery Pack Serial No"",""Warranty Duration""]",2025-07-26 11:10:05,1
119,22,15,no,"[""Battery Pack Serial No"",""Warranty Start Date"",""Warranty Duration""]",2025-07-26 11:10:23,1
120,22,15,t,"[""Warranty Duration""]",2025-07-26 11:10:55,1
121,1,15,edit,"[""Battery Pack Serial No""]",2025-07-26 11:11:37,1
122,5,15,j,"[""Warranty Start Date""]",2025-07-26 11:12:14,1
123,1,15,4,"[""Battery Pack Serial No""]",2025-07-26 11:41:18,1
124,22,18,test,"[""Warranty Duration""]",2025-07-30 03:03:27,1
125,6,2,battery BA-005,"[""Battery Pack Serial No"",""Warranty Duration""]",2025-07-31 09:48:24,1
126,6,2,BA-005,"[""Warranty Duration""]",2025-07-31 09:49:10,1
127,2,2,serial,"[""Battery Pack Serial No""]",2025-08-05 05:59:21,1
128,11,2,TEST,"[""Warranty Duration""]",2025-08-11 10:49:02,1
129,11,2,TEST,"[""Warranty Start Date""]",2025-08-11 10:49:34,1
130,23,68,,"[""Battery Pack Created""]",2025-08-21 05:21:38,1
131,24,68,,"[""Battery Pack Created""]",2025-09-06 09:40:00,1
132,25,71,,"[""Battery Pack Created""]",2025-10-01 07:59:07,1
133,26,71,,"[""Battery Pack Created""]",2025-10-01 08:04:45,1
134,27,18,,"[""Battery Pack Created""]",2025-10-09 11:36:45,1
135,27,18,test,"[""Battery Pack Serial No""]",2025-10-09 11:37:15,1
136,28,18,,"[""Battery Pack Created""]",2025-10-13 07:43:21,1
137,29,18,,"[""Battery Pack Created""]",2025-12-11 11:00:49,1
138,30,18,,"[""Battery Pack Created""]",2025-12-18 05:19:41,1
139,31,18,,"[""Battery Pack Created""]",2025-12-18 05:56:33,1
140,32,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
141,33,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
142,34,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
143,35,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
144,36,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
145,37,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
146,38,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
147,39,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
148,40,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
149,41,18,,"[""Battery Pack Created""]",2025-12-18 05:57:21,1
150,42,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
151,43,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
152,44,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
153,45,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
154,46,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
155,47,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
156,48,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
157,49,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
158,50,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
159,51,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
160,52,18,,"[""Battery Pack Created""]",2025-12-18 05:57:22,1
161,53,18,,"[""Battery Pack Created""]",2025-12-18 05:57:23,1
162,54,18,,"[""Battery Pack Created""]",2025-12-18 05:57:23,1
163,55,18,,"[""Battery Pack Created""]",2025-12-18 05:57:23,1
164,56,18,,"[""Battery Pack Created""]",2025-12-18 05:57:23,1
165,57,18,,"[""Battery Pack Created""]",2025-12-18 05:57:23,1
166,58,18,,"[""Battery Pack Created""]",2025-12-18 05:57:23,1
167,59,18,,"[""Battery Pack Created""]",2025-12-18 05:57:23,1
168,60,18,,"[""Battery Pack Created""]",2025-12-18 05:57:24,1
169,61,18,,"[""Battery Pack Created""]",2025-12-18 05:57:24,1
170,62,18,,"[""Battery Pack Created""]",2025-12-18 05:57:24,1
171,63,18,,"[""Battery Pack Created""]",2025-12-18 05:57:24,1
172,64,18,,"[""Battery Pack Created""]",2025-12-18 05:57:24,1
173,65,18,,"[""Battery Pack Created""]",2025-12-18 05:57:24,1
174,66,18,,"[""Battery Pack Created""]",2025-12-18 05:57:25,1
175,67,18,,"[""Battery Pack Created""]",2025-12-18 05:57:25,1
176,68,18,,"[""Battery Pack Created""]",2025-12-18 05:57:25,1
177,69,18,,"[""Battery Pack Created""]",2025-12-18 05:57:25,1
178,70,18,,"[""Battery Pack Created""]",2025-12-18 05:57:25,1
179,71,18,,"[""Battery Pack Created""]",2025-12-18 05:57:25,1
180,72,18,,"[""Battery Pack Created""]",2025-12-18 05:57:25,1
181,73,18,,"[""Battery Pack Created""]",2025-12-18 05:57:25,1
182,74,18,,"[""Battery Pack Created""]",2025-12-18 05:57:25,1
183,75,18,,"[""Battery Pack Created""]",2025-12-18 05:57:26,1
184,76,18,,"[""Battery Pack Created""]",2025-12-18 05:57:26,1
185,77,18,,"[""Battery Pack Created""]",2025-12-18 05:57:26,1
186,78,18,,"[""Battery Pack Created""]",2025-12-18 05:57:26,1
187,79,18,,"[""Battery Pack Created""]",2025-12-18 05:57:26,1
188,80,18,,"[""Battery Pack Created""]",2025-12-18 05:57:26,1
189,81,18,,"[""Battery Pack Created""]",2025-12-18 05:57:26,1
190,82,18,,"[""Battery Pack Created""]",2025-12-18 05:57:26,1
191,83,18,,"[""Battery Pack Created""]",2025-12-18 05:57:26,1
192,84,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
193,85,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
194,86,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
195,87,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
196,88,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
197,89,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
198,90,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
199,91,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
200,92,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
201,93,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
202,94,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
203,95,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
204,96,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
205,97,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
206,98,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
207,99,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
208,100,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
209,101,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
210,102,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
211,103,18,,"[""Battery Pack Created""]",2025-12-18 05:57:27,1
212,104,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
213,105,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
214,106,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
215,107,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
216,108,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
217,109,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
218,110,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
219,111,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
220,112,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
221,113,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
222,114,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
223,115,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
224,116,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
225,117,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
226,118,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
227,119,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
228,120,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
229,121,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
230,122,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
231,123,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
232,124,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
233,125,18,,"[""Battery Pack Created""]",2025-12-18 05:57:28,1
234,126,18,,"[""Battery Pack Created""]",2025-12-18 05:57:29,1
235,127,18,,"[""Battery Pack Created""]",2025-12-18 05:57:29,1
236,128,18,,"[""Battery Pack Created""]",2025-12-18 05:57:29,1
237,129,18,,"[""Battery Pack Created""]",2025-12-18 05:57:29,1
238,131,18,,"[""Battery Pack Created""]",2025-12-18 05:57:29,1
239,130,18,,"[""Battery Pack Created""]",2025-12-18 05:57:29,1
240,126,18,dvdv,"[""Warranty Duration""]",2025-12-19 11:04:24,1
